Title,Industries,Job Skills
Product Specialists Business DevelopmentManager,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Sales Management and Leadership skill and Teamwork and Learning Development and Self motivation Hard Working
Production Executive,['Manufacturing Warehousing'],Computer Word Excel Stock Contr
Production Manager,"['Food Beverages', 'Food Beverages', 'Food Beverages', 'Food Beverages']",Proactive and teamwork skills and Proficient Problem Solving and operation project and Ability to manage
Production Supervisor,"['Food Beverages', 'Food Beverages', 'Food Beverages', 'Food Beverages']",Teamwork communication skills and Ability to manage and Able to communicate with people and Manufacturing Processes
Programme Administrator,"['Education Training', 'Education Training', 'Education Training']",Programme Management and Programme Support and Education Counselling
Project Coordinator,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Communication Skills and Interpersonal skill and Project Coordination and Strong Communication Skill and Negotiations and Dealing
Project Coordinator japanese Male Female,"['BPO Business Process Outsourcing', 'BPO Business Process Outsourcing', 'BPO Business Process Outsourcing']",Japanese Language N and Japanese Language JLPT N and Microsoft s
Project Development Manager Construction,['Construction Engineering'],Construction
Project Management Specialist,['IT Telecom'],Project Managment
Project Manager,"['Banking Micro finance Insurance', 'Medical Healthcare']",Team work leadership analytic and General management
Project Operation Site,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Communication Skills and Interpersonal skill and Negotiation Skills
Project Sales Sales executive,['Travel Tourism Transportation'],Customer RelationshipManagement
Promotion Specialist,['IT Telecom'],Able to communicate with people
Purchase Accountant,['Construction Engineering'],Accounting
Purchasing Supervisor,['Hospitality Hotel'],Flexibility and Transparency
QC Staff,['Food Beverages'],Communication team work
QC staff,"['Food Beverages', 'Food Beverages']",Teamwork communication skills and Learn quickly to new job
QS Engineer Civil,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Vendor management and Problem Solving Skill and Communication Skills and Technical skill and Financial Analysic Budgeting and Communication Skills and Interpersonal skill
QS Engineer Plumbing Sanitary,['Construction Engineering'],Teamwork communication skills
QS Manager Interior Projects,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Tendering and Good in Microsoft Package and Accountibility and Supervisory skills and Teamwork communication skills and Advanced English Level
Quality Assurance Engineer Product IT,"['Medical Healthcare', 'Medical Healthcare']",Software Develpment and Quality assurance
Quality Assurance Inspector,"['Manufacturing Warehousing', 'Manufacturing Warehousing']",Quality control and Quality assurance
Quality Assurance Manager,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Analytical and Ability to work under pressure and New product Innovation and Quality assurance
Quantity Surveyor,['Construction Engineering'],Proactive and teamwork skills
Receiving Supervisor,['Hospitality Hotel'],Planning Originizing
Reception Male Hlaing Tsp,['IT Telecom'],Administration HR
Receptionist,"['Medical Healthcare', 'Energy Utilities', 'Energy Utilities', 'Energy Utilities', 'Hospitality Hotel', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",customer services and Government Process and Admin Data entry and Computer excel word internet em and Front Office FO Reception and customer services and Computer Microsoft series and Teamwork and collaboration and English skill Fair and Digital business and e commerce
Receptionist at an International School,"['Education Training', 'Education Training']",Communication Skills and Telecommunications
Recruitment Officer,"['Shipping Logistics', 'Shipping Logistics']",Recruitment Specialist and Recruitment Specialist
Recruitment Selection Specialist,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Interpersonal Communication and flexible to work with all and Leadership influencing and HR and Recruitment and good personality and Energetic
Recruitment Staff,['Recruitment'],Recruitment
Recruitment and Training Specialist,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Interpersonal Communication and Training Development Skills and Communication and teamwork and Ability to work under deadline
Regional Car Sale Manager Mandalay Male Posts,"['Agriculture', 'IT Telecom', 'Automotive Aviation', 'Agriculture']",Team Building and Team Building and Teamwork communication skills and Teambuilding and Coaching
Regional Coordinator,"['IT Telecom', 'IT Telecom']",Telecom Power System and Telecom Power System
Regional Manager,['IT Telecom'],Telecom Power Project
Regional O M Supervisor,['IT Telecom'],Proactive and teamwork skills
Regional Sale Manager,['Automotive Aviation'],Retail Category Management
Regional Sale Manager Male Mandalay Posts Tractor Truck,['Agriculture'],Regional Sales Manager
Regional Sale Manager Male Post Yangon,['Agriculture'],Team Building
Regional Sale Manager Male Posts Mandalay,['Agriculture'],Team bulding
Regional Sale Manager Male Posts Yangon Bayint Naung,['Agriculture'],Team Building
Regional Sale Manager Male Yangon Posts Tractor Truck Engine oil Generator,['Agriculture'],Sales Marketing management
Regional Sale Manager Tractor Sales Male Posts Ygn,['Agriculture'],Team Building
Registered Nurse,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Customer service experience and Computer Email and Internet and Team work and hard working and Clinical experience and Patients care and Clinical skil
Regulatory Executive,['Medical Healthcare'],Proactive and teamwork skills
Relationship Executive,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",communication with all levels and Customer Relationship Building and Sale and marketing Management and Presentation Data Analyzed
Relationship Manager,['IT Telecom'],Marketing Management
Reservation Executive,['Hospitality Hotel'],Proactive and teamwork skills
Reservation Manager,['Hospitality Hotel'],Leadership and motivation
Restaurant Manager,"['Food Beverages', 'Food Beverages', 'Food Beverages', 'Food Beverages', 'Food Beverages']",Management and Communication Skills and Operation Management and customer services and Food and Beverage Service
Restaurant Supervisor,['Food Beverages'],IT literacy
Retail Shop Manager,['Retail Fashion FMCG'],Retail Sale and Service
Retail Specialist,['IT Telecom'],MS Office Advance Excel
Retail Supervisor Shop,['Retail Fashion FMCG'],Retail Category Management
Room Attendant,['Hospitality Hotel'],Proactive and teamwork skills
SALE MARKETING,['Manufacturing Warehousing'],Sales Marketing
SCM Department Procurement Executive,['IT Telecom'],Telecom engineering
SEO specialist Marketing lead,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Marketing and Communication and Good interpersonal Skill and SEO and Facebook Ads Google Ads and HTML CSS
SEO specialist marketing lead,['IT Telecom'],Search engine optimization
Safety Supervisor,"['Banking Micro finance Insurance', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Ability to work flexibly and Interpersonal skill and Strong Communication Skill and Safety Management and communication with all levels and Teamwork and collaboration and Safety and Environmental
Sale Admin Retails Channel,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Proactive and teamwork skills and Banking and Finance Skill and Microsoft s and Teamwork communication skills and INVENTORY RECONCILIATION
Sale And Marketing,['Manufacturing Warehousing'],Sales Marketing
Sale Corporate Female Posts,"['Entertainment Events', 'Entertainment Events', 'Entertainment Events']",Strong Communication Skill and Teamwork and collaboration and Corporate Communication
Sale Distribution Supervisor,['Medical Healthcare'],HTML CSS Basic
Sale Drive Post,['Manufacturing Warehousing'],Driving Skill
Sale Engineer Sale Executive Male posts Project Division Nay Pyi Taw,"['Construction Engineering', 'Construction Engineering']",Sales Engineer and Sales Executive
Sale Executive,"['Travel Tourism Transportation', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Customer Management and Communication and Teamwork and Learning Development
Sale Executive B B,['Travel Tourism Transportation'],operation project
Sale Executive B C,['Travel Tourism Transportation'],Sales Operations Process
Sale Executive Logistics,"['Shipping Logistics', 'Shipping Logistics']",Sales Operations Process and Sales Operations Management
Sale Executive Regional Retail,['Construction Engineering'],distribution marketing
Sale Man Male Post,['Manufacturing Warehousing'],Salesman
Sale Man Post,['Manufacturing Warehousing'],Sales Distribution
Sale Marketing,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Customer Service and E commerce and Sale Marketing
Sale Marketing Executive,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",customer services and Sale and marketing Management and Sale and Operation
Sale Marketing Logistic Manager Bird Nest URGENT,['Food Beverages'],Sales Marketing
Sale Marketing Manager,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Teamwork communication skills and operation project and distribution marketing and Team work leadership analytic and communication with all levels and Sales Distribution and Problem Solving Skill and Leadership and Team Building
Sale Marketing Manager Post Female,"['Energy Utilities', 'Energy Utilities']",Sales Marketing Manager and Sales Marketing
Sale Marketing Manager or A M,['Shipping Logistics'],distribution marketing
Sale Marketing Manager or Assistant Manager Local Export,"['Manufacturing Warehousing', 'Manufacturing Warehousing']",Micro soft Office word Excel and Teamwork communication skills
Sale Marketing Staff,"['Food Beverages', 'Food Beverages', 'Food Beverages']",Microsoft Office and Communication Skills and Teamwork
Sale Marketing Staff Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",customer services and Sales and Sales Marketing
Sale Promoter,['Energy Utilities'],Proactive and teamwork skills
Sale Representative Yangon Posts Female Male,['Medical Healthcare'],Marketing Management
Sale Staff,"['Medical Healthcare', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Salesman and Sales Operations Process and Teamwork communication skills
Sale Supervisor,['Retail Fashion FMCG'],Sales Distribution
Sale and Cashier Posts,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",customer services and Teamwork communication skills and Facebook other and Computer Word Excel Stock Contr
Sale and Marketing Executive SCG International,"['Agriculture', 'Agriculture', 'Agriculture', 'Agriculture']",Sales Management and Business Strategy and Microsoft Word Excel Power Po and English Communication Skills
Sale and Marketing M F Posts,"['Advertising Media Communications', 'Advertising Media Communications']",Proactive and teamwork skills and Computer excel word internet em
Sales Admin,"['Manufacturing Warehousing', 'IT Telecom']",Banking and Finance Skill and Computer Advance level
Sales Admin Assistant,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Advanced Excel and Data entry job and Data Analyze and Computerize Skill
Sales Admin Executive,"['Advertising Media Communications', 'Advertising Media Communications']",Proactive and teamwork skills and Teamwork communication skills
Sales Admin Executive Female Posts Mandalay,"['Agriculture', 'Agriculture']",Sales Operations Process and Sales admin
Sales Admin MHE Division,['Recruitment'],Sales admin
Sales Admin Mandalay,['Manufacturing Warehousing'],Retail Category Management
Sales And Marketing Staff International Trade Fairs,['Recruitment'],Sales Business Analysis
Sales Assistant East Dagon Branch South Dagon Branch Satsan Branch Puzundaung,['Retail Fashion FMCG'],Teamwork and collaboration
Sales Assistant Male Female posts,['IT Telecom'],Sales
Sales Assistant SalesPromoter,['Education Training'],Proactive and teamwork skills
Sales Associate,['Retail Fashion FMCG'],IT literacy
Sales Associate Showroom,['Medical Healthcare'],Sales
Sales Call Operator,['Shipping Logistics'],Microsoft Office
Sales Consultants,"['Automotive Aviation', 'Automotive Aviation']",Excellent interpersonal skills and Honestly Team Spirit Optimist
Sales Coordinator,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Advertising Media Communications', 'Advertising Media Communications']",Sales admin and Sales admin and Sales and Communication team work
Sales Customer Service Associate Yangon Mandalay,['Travel Tourism Transportation'],Great customer service skill
Sales Drive,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",safety drive and Sale Service and sale Marketing Drive and Sales and Driving and Decipline and Determination
Sales Drive Male Posts Lathar Yangon,['Shipping Logistics'],Proactive and teamwork skills
Sales Engineer,"['Construction Engineering', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Teamwork communication skills and Engineering and Sale Engineer and Engineering Knowledge and Electric Power Engineering Proj and Quick learning skill and good communication skill and Sale Forecasting
Sales Engineer Sales Executive Male Female Post MHE Division Yangon,"['Construction Engineering', 'Construction Engineering']",Sales Engineer and Sales Executive
Sales Engineer Yangon Nay Pyi Taw,['Construction Engineering'],Engineering
Sales Engineer for Male Only,['Manufacturing Warehousing'],Engineering
Sales Executive,"['Shipping Logistics', 'Manufacturing Warehousing', 'Medical Healthcare', 'Retail Fashion FMCG', 'Automotive Aviation', 'Automotive Aviation', 'Automotive Aviation', 'Automotive Aviation', 'Recruitment', 'Recruitment', 'Recruitment', 'Recruitment', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Hospitality Hotel', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Sales Operations Process and Sales Operations Process and  and Negotiating and Problem Solving Skill and Computer Skills and Customer service good performa and Excellent customer service skil and Problem Solving Skill and Sales and Verbal communication Skills and Analytical Skil and Communicative English and Learning Development and Adaptability and Flexibility and Microsoft Word Excel and Pow and Marketing Management and Sales Operations Process and Ability to manage and Ability to work flexibly and Communication team work and Learn quickly to new job and Administration Marketing Sal and Sales Management and Sales Operations Process and Problem Solving Skill and Sales Marketing and Core Value Sales Drive and Achieving Sales Target and Closing Sales Deal and ERP system software and Business Development Sales and Sales Support and B B Sales and Negotiations and Communications and Teamwork communication skills
Sales Executive Hlaing Female,['IT Telecom'],Sales Marketing Management Pr
Sales Executive Lower Myanmar East,['Retail Fashion FMCG'],Sales Distribution
Sales Executive Lower Myanmar West,['Food Beverages'],Sales Distribution
Sales Executive Mandalay,['IT Telecom'],Sales Marketing
Sales Executives for Medical Equipment Sales,['Medical Healthcare'],Proactive and teamwork skills
Sales Management Specialist Foomee,['IT Telecom'],Sales Management
Sales Manager,"['IT Telecom', 'Retail Fashion FMCG', 'Hospitality Hotel', 'Hospitality Hotel', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Hospitality Hotel', 'Retail Fashion FMCG', 'Hospitality Hotel']",IT literacy and Teamwork communication skills and Proactive and teamwork skills and Sales and Marketing Management and Logistics customer service and Negotiations and Sales Management and Presentation Data Analyzed and Bussiness Development and Retail Category Management and Sales
Sales Manager Events Marketing,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",communication with all levels and Sociable Team Player and Interpersonal skill and Strong Presentations and Negotiations and Dealing and communication with all levels and Sociable Team Player and Interpersonal skill and Strong Presentations and Negotiations and Dealing
Sales Manager Logistics,['Shipping Logistics'],Sales Management
Sales Manager Mandalay,['IT Telecom'],Sales Management
Sales Manager Project Sales,['Construction Engineering'],Teamwork communication skills
Sales Marketing,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Shipping Logistics', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Proficient Problem Solving and Learn quickly to new job and Young active and creative and Sale Marketing and Microsoft s and Teamwork communication skills and SUPPORT TO AUDIT and Communication Skills and Sales Marketing and Beauty Spa and Good at Customer Relation and Advertising Promotions and Teamwork communication skills and Ability to work flexibly and Work with patience and Hard work and Teamwork communication skills and Proficient Problem Solving and Able to communicate with people and Work with patience and Sales Marketing Management Pr and Self learning Quick learner
Sales Marketing Assistant Paid Internship,"['Construction Engineering', 'Construction Engineering']",ERP support Implementation and Sales Distribution
Sales Marketing Executive,"['Shipping Logistics', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Sale executive and Sales Marketing and Closing Sales Deal and Channel Sales B B B C and Strategic Sales Planning
Sales Marketing Executive Posts,"['IT Telecom', 'IT Telecom', 'IT Telecom', 'IT Telecom']",Sales Marketing Manager and Sales Business Analysis and Sales and Digital communications
Sales Marketing Executive Yangon,['Shipping Logistics'],IT literacy
Sales Marketing Freight Forwarding Logistics Female Male,['Shipping Logistics'],Proactive and teamwork skills
Sales Marketing Male Posts,['IT Telecom'],Sales Marketing
Sales Marketing Manager,"['Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Sales Marketing Manager and Sales Marketing Management and Media and Media Management
Sales Marketing Manager Female,['Hospitality Hotel'],Marketing Management
Sales Marketing Manager Pharmaceutical,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Sales Management and Businesses Development and Sales Marketing Manager and Negotiation Skills
Sales Marketing Mandalay,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Teamwork communication skills and Professional Driving Skills and distribution marketing and Email internet and Able to communicate with people and Work with patience
Sales Marketing Staff,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Proactive and teamwork skills and Telephone Communications and Able to communicate with people and Work with patience and Customer Management
Sales Marketing Staff Mandalay,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Sales admin and Customer Service and Marketing and Communication
Sales Marketing Supervisor,"['Medical Healthcare', 'Medical Healthcare']",Customer Relationship Building and Medical Sale representative
Sales Marketing Yangon,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Sales admin and Sales Distribution and Teamwork communication skills and Professional Driving Skills and distribution marketing and Email internet and Facebook other and Other application in Window or and Able to communicate with people
Sales Officer Posts,['Recruitment'],Sale Forecasting
Sales Operation Manager Electrical,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering']",operation project and Planning communicating monitor and Office management field work
Sales Project Engineer Installation Service,['Construction Engineering'],Mechanical Engineering
Sales Promoter,"['IT Telecom', 'IT Telecom', 'IT Telecom']",Sales Distribution and Sales Operations Process and Sales
Sales Promoter for Yangon Post,['Retail Fashion FMCG'],Sales Distribution
Sales Promotor PG,['Food Beverages'],Teamwork communication skills
Sales Rep,['Food Beverages'],Proactive and teamwork skills
Sales Representative,"['Shipping Logistics', 'Shipping Logistics', 'Manufacturing Warehousing', 'Recruitment', 'Recruitment', 'Recruitment', 'Recruitment', 'Shipping Logistics', 'Agriculture', 'Agriculture', 'Agriculture', 'Agriculture', 'Agriculture', 'Agriculture', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",Sales Marketing and Logistics and Shipping and Sales Representative and Teamwork communication skills and Email internet and interpersonal skills and Marketing Management and Shipping Logistic and Communicative English and Driving Skill and Marketing and Coustomer Suport and Engineering Technology and Business Administration and Travel if necessary and  and Sales and Quick Learning and Able to travel and Self Driven Proactive and Sales and Sales and Distribution and Sales Marketing and Sale and Operation and Channel Sales B B B C and Trade Marketing and Trade Sales
Sales Representative For Retail Channel,['Shipping Logistics'],Sales Distribution
Sales Representative M F Posts,['IT Telecom'],Teamwork communication skills
Sales Representative Shwe Pyi Thar Branch,['Banking Micro finance Insurance'],Marketing Management
Sales Senior Executive Mandalay,['IT Telecom'],Sales Marketing
Sales Supervisor,"['Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training', 'Education Training']",Microsoft Word and Microsoft Excel and Communication Skills and Microsoft and Micorsoft Office and Viber for Business
Sales Supervisor itel Home Appliances Business Unit,['IT Telecom'],Sales
Sales Supervisor wholesale channel,['Retail Fashion FMCG'],distribution marketing
Sales and Marketing,"['Property Real Estate', 'Property Real Estate', 'Property Real Estate', 'Property Real Estate', 'Property Real Estate']",Teamwork communication skills and Email internet and Telephone Communications and Work with patience and Cooperative Quick learner
Sales and Marketing Associate,['Hospitality Hotel'],Sales and Marketing skill
Sales and Marketing Coordinator,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",communication with all levels and Problem Solving Skill and Sales Marketing and Computer Skills MS Office and English Skills and Dedication and Enthusiasm
Sales and Marketing Manager,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Sales Management and Sales and Marketing Management and Business Development Sales
Sales and Marketing Manager Medical Device,"['Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare', 'Medical Healthcare']",Businesses Development and Sales Marketing Manager and Customer Relationship Building and Medical Filed
Sales and Marketing Representative,['Retail Fashion FMCG'],Sales Marketing
Sales staff post,['Medical Healthcare'],Sales Marketing
Secondary Business Studies Teacher,['Education Training'],Proactive and teamwork skills
Secondary English Teacher,"['Education Training', 'Education Training']",Communication Skills and Teaching and Training
Secondary ICT teacher,['Education Training'],Teamwork communication skills
Secondary Science Lab Coordinator,['Education Training'],Proactive and teamwork skills
Secretary,['Medical Healthcare'],IT literacy
Secretary Person Male Female,['Construction Engineering'],Microsoft s
Secretary to Chairman,"['Government Public Relations', 'Government Public Relations', 'Government Public Relations']",Proactive and teamwork skills and Microsoft s and Teamwork communication skills
Security,"['Enforcement Security', 'Manufacturing Warehousing']",security and report writing skill
Senior Accountant,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Retail Fashion FMCG', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Hospitality Hotel', 'Energy Utilities', 'Energy Utilities', 'Education Training', 'Hospitality Hotel', 'Hospitality Hotel', 'Hospitality Hotel', 'Medical Healthcare', 'Food Beverages', 'Food Beverages', 'Food Beverages', 'Food Beverages', 'Food Beverages', 'Advisory and Financial Services', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",Proactive and teamwork skills and Banking and Finance Skill and Government Process and Teamwork communication skills and INVENTORY RECONCILIATION and  and Computer Skills Advanced and Office and finance and Computer Skills Advanced and Business solutions and Finance Accounting Field and Finance Accounting Field and Finance Accounting Field and Finance Accounting Field and Finance Accounting Field and Senior Accountant and Senior Accountant Position and FULL SET OF ACCOUNTS and communication with all levels and Financial Reporting and Balance Sheet and Profit Loss and Can work under pressure and Microsoft excel skill and FULL SET OF ACCOUNTS and Financial Analysic Budgeting and Initiative and Accounting Software and Cost and budget control and Detailed oreinted and Proactive and teamwork skills
Senior Accountant Female Post Sagaing,['Agriculture'],Finance Accounting Field
Senior Accountant Manager level,"['Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing', 'Manufacturing Warehousing']",communication with all levels and Teamwork and collaboration and Accounting Finance and Accounting analysis assignment and Handle full set of Accounts and
Senior Accountant Mandalay Branch Female,"['Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics']",Finance Accounting Field and Initiative and Communication Skills and Teamwork and Enthusiastic and open minded
Senior Accountant Win Myint Mo Industries Co Ltd,['Energy Utilities'],Proactive and teamwork skills
Senior Accounts Admin Executive,"['Construction Engineering', 'Construction Engineering']",Accounting and Proactive and teamwork skills
Senior Admin Executive,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Retail Category Management and Microsoft s and Government Process and Professional Driving Skills and Admin Data entry
Senior Auditor Win Myint Mo Industries Co Ltd,"['Mining Metal Chemicals', 'Mining Metal Chemicals', 'Mining Metal Chemicals']",Proactive and teamwork skills and Banking and Finance Skill and Microsoft word excel and Powe
Senior Data Analyst,['IT Telecom'],Data Analyze
Senior Designer,['Retail Fashion FMCG'],Designing implementation
Senior Developer,['IT Telecom'],Web Development
Senior Front End Developer,['IT Telecom'],Proactive and teamwork skills
Senior Graphic Designer and Video Editor,['Advertising Media Communications'],Graphic Designs
Senior Graphic designer Post Male Female,"['Advertising Media Communications', 'Advertising Media Communications']",Teamwork communication skills and Learn quickly to new job
Senior HR Associate Employee Relation,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Problem Solving Skill and Communication and Interpersonal skill and Technical skill and Strategic Thinking and Workplace Culture and Planning Skill and Development Skill
Senior HR Manager URGENT,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Microsoft Word and Microsoft Word Excel Power Po and Human Resources Skills and Administration Skills
Senior HR Officer,"['Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics', 'Shipping Logistics']",Communication Skills and Negotiations and Dealing and Human Resource Development and HR Information System and Recruiting Hiring and Human Resource Manangement
Senior Housekeeping Supervisor Housekeep,"['Hospitality Hotel', 'Hospitality Hotel', 'Hospitality Hotel']",Strong communication skills and Strong Leadership Skills and Basic computer skill
Senior IT Officer Male post,"['Manufacturing Warehousing', 'Shipping Logistics']",IT literacy and IT literacy
Senior IT Technician,"['Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Government Public Relations', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications', 'Advertising Media Communications']",IT Technicial support and IT Service Management and Customer Relationship Building and Teamwork and collaboration and Accountibility and IT Technicial support and IT Service Management and Customer Relationship Building and Teamwork and collaboration and Accountibility
Senior Instructor,['Construction Engineering'],Civil Engineer and Technical
Senior Logistics Supervisor,['Shipping Logistics'],Logistics and transport manage
Senior Marketing Executive,"['Medical Healthcare', 'Food Beverages']",Teamwork communication skills and Marketing and Communication
Senior Merchandiser,"['Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG', 'Retail Fashion FMCG']",Computer Microsoft series and Negotiation and Good interpersonal Skill and Internet Email
Senior Parts Services Sales Representative,['Construction Engineering'],Excavator operator And Driver
Senior Programmer For Japan Posts,['IT Telecom'],Proactive and teamwork skills
Senior QS Engineer,['Banking Micro finance Insurance'],Computerize Skill
Senior QS Engineer Civil,"['Construction Engineering', 'Construction Engineering', 'Construction Engineering', 'Construction Engineering']",Operation Management and Communication Skills and Good interpersonal Skill and Analytical Skil
Senior Qs,['Construction Engineering'],M E construction
Senior Sale Executive,"['Banking Micro finance Insurance', 'Banking Micro finance Insurance']",Teamwork and collaboration and Sales Marketing Management Pr
